the_geom,BIN,NAME,Height Roof
"MULTIPOLYGON (((-73.977544127444 40.726112615066, -73.977583838596 40.726056756114, -73.977612627626 40.726068601609, -73.977773365874 40.726134737324, -73.977733656018 40.726190597242, -73.977601678327 40.726136294358, -73.977544127444 40.726112615066)))",1004895,,53.84
"MULTIPOLYGON (((-73.979232276834 40.726680804181, -73.979386524852 40.726745584803, -73.979289118218 40.72687710649, -73.97913562077 40.726811311901, -73.979232276834 40.726680804181)))",1091774,,75
"MULTIPOLYGON (((-73.98340073995 40.720653536724, -73.983500205636 40.720458800456, -73.983719833303 40.720526048473, -73.98361969098 40.720716652394, -73.98340073995 40.720653536724)))",1090484,,99
"MULTIPOLYGON (((-74.001895016103 40.726791356471, -74.001920824437 40.726760137194, -74.001826576446 40.726715042136, -74.001803399345 40.726743076249, -74.001714551523 40.726700565476, -74.001772352848 40.726630649074, -74.001945925639 40.726713697519, -74.001948715935 40.72672514024, -74.001967933125 40.726723722512, -74.001978484172 40.726710960316, -74.002043534882 40.726742084374, -74.002019164745 40.726771562969, -74.00197225078 40.726828310263, -74.001923152867 40.726804818614, -74.001895016103 40.726791356471)))",1008039,,64.46
"MULTIPOLYGON (((-73.991158690776 40.714085607053, -73.991229694836 40.714079760965, -73.991250106311 40.714078080364, -73.991250846478 40.714083285371, -73.991269652207 40.714215518676, -73.991178235301 40.714223045381, -73.991172330553 40.714181521484, -73.991158690776 40.714085607053)))",1003590,,52.55
"MULTIPOLYGON (((-73.996523391405 40.719841929436, -73.996481531662 40.71982796846, -73.996475698348 40.719818562456, -73.996391259333 40.719790400897, -73.996376790067 40.719793036235, -73.996374983974 40.719792433737, -73.996360889114 40.719787732631, -73.996289633705 40.719763967702, -73.99631578703 40.719699242589, -73.996370755607 40.719717575114, -73.996406966191 40.719729652087, -73.996412108224 40.719740194517, -73.996489954825 40.719766157716, -73.996494220793 40.719758752953, -73.996540716451 40.719774260238, -73.996563921088 40.719781999015, -73.996590881129 40.719790990507, -73.996565269151 40.719851370737, -73.996563587094 40.719855335632, -73.996523391405 40.719841929436)))",1006988,,62.16
"MULTIPOLYGON (((-74.002549692934 40.726020369337, -74.002508442137 40.72600002414, -74.002550868007 40.725950238557, -74.002656544104 40.726002359437, -74.002614118279 40.726052144158, -74.002549692934 40.726020369337)))",1077255,,47.74
"MULTIPOLYGON (((-73.996564362795 40.71387224092, -73.996561393483 40.713849335443, -73.996613933518 40.713845391862, -73.996648694318 40.713842783199, -73.996653672403 40.713881189222, -73.996671613903 40.714019601827, -73.996584312839 40.714026154088, -73.996564362795 40.71387224092)))",1003521,,36.41
"MULTIPOLYGON (((-73.988343708373 40.724851617764, -73.98837024892 40.724814479841, -73.988383108433 40.724819799547, -73.98841005859 40.724782088932, -73.988397197899 40.724776769229, -73.988418620196 40.72474679433, -73.988440519819 40.724755852052, -73.988461042294 40.724727135067, -73.988449914357 40.724722532348, -73.988464884128 40.7247015853, -73.988459281542 40.724689896128, -73.988464699261 40.724682316183, -73.988497219757 40.724636810395, -73.988575966256 40.724669382452, -73.988538028086 40.724722469111, -73.988524727861 40.724726338176, -73.988509758103 40.724747286132, -73.988496193186 40.724741674605, -73.988475669539 40.724770391596, -73.988497366787 40.72477936644, -73.988475945699 40.724809342254, -73.988466385981 40.724805388061, -73.988439435846 40.724843098689, -73.988448995568 40.724847052884, -73.988422455052 40.724884189925, -73.988343708373 40.724851617764)))",1006127,,58.46
"MULTIPOLYGON (((-73.987789138969 40.719660207815, -73.987870427832 40.719684235708, -73.987790493036 40.719840779112, -73.98770920401 40.719816750263, -73.987789138969 40.719660207815)))",1005331,,26.57
